iter	MultiClass
0	1.875032165
1	1.813179719
2	1.757604787
3	1.70643782
4	1.659749736
5	1.616375119
6	1.576246151
7	1.540468698
8	1.506119792
9	1.475410518
10	1.445435604
11	1.416174381
12	1.388657407
13	1.363464808
14	1.339213118
15	1.316495252
16	1.294449095
17	1.273019748
18	1.252883185
19	1.234374871
20	1.217000196
21	1.199738679
22	1.183396242
23	1.16723284
24	1.151718931
25	1.137083152
26	1.123208214
27	1.109282382
28	1.09677011
29	1.084508696
30	1.072518872
31	1.061655196
32	1.050287156
33	1.039920415
34	1.029125137
35	1.019139979
36	1.009398445
37	0.9993487
38	0.9903112987
39	0.9811402659
40	0.9724211516
41	0.9641310919
42	0.9557193494
43	0.9479607153
44	0.9405580228
45	0.9328039099
46	0.9258910487
47	0.9188847295
48	0.9119876922
49	0.905132766
50	0.8992931548
51	0.8934103345
52	0.8878487077
53	0.8819044648
54	0.8758295614
55	0.8703921363
56	0.8650676102
57	0.8592320679
58	0.8540610662
59	0.8490044488
60	0.8444532283
61	0.8399872634
62	0.8351973922
63	0.8308996776
64	0.8265995732
65	0.8226259585
66	0.8185727074
67	0.8145080243
68	0.8105133541
69	0.8066777628
70	0.8031835808
71	0.7990583793
72	0.7953027473
73	0.7921963485
74	0.7888079608
75	0.7848659939
76	0.7818417504
77	0.7786681806
78	0.7759925156
79	0.772885148
80	0.7700469809
81	0.76722664
82	0.7647387308
83	0.7620458209
84	0.758820452
85	0.7559034237
86	0.7533635861
87	0.751017188
88	0.7484678561
89	0.7463154788
90	0.7443310934
91	0.7416614997
92	0.7394762473
93	0.7375879035
94	0.735397355
95	0.7331321434
96	0.7314757332
97	0.7290683
98	0.7272163835
99	0.7247661934
100	0.723007735
101	0.7216745205
102	0.7194284268
103	0.7171961547
104	0.7152742901
105	0.7132797645
106	0.7115965505
107	0.7099086862
108	0.7082944517
109	0.706386215
110	0.7041419943
111	0.7024828714
112	0.7006184896
113	0.6991787704
114	0.6972629769
115	0.6958111798
116	0.6938134895
117	0.6917952603
118	0.6903593517
119	0.6886632203
120	0.6878961149
121	0.6862309209
122	0.6841575986
123	0.6825448495
124	0.6809660089
125	0.6792483052
126	0.6777005958
127	0.6760346266
128	0.6743306155
129	0.6724650711
130	0.6714361282
131	0.6697855309
132	0.6683971587
133	0.6669379986
134	0.6652445152
135	0.66388088
136	0.6630450536
137	0.6616281338
138	0.6603540814
139	0.6588497747
140	0.657452877
141	0.6561573816
142	0.6552481192
143	0.6544353505
144	0.6533376865
145	0.6526854823
146	0.65146465
147	0.6501237496
148	0.6488252832
149	0.6478059637
150	0.6465182834
151	0.6456101836
152	0.6442555907
153	0.643120466
154	0.6421803308
155	0.6408034552
156	0.6396614842
157	0.6383324679
158	0.637364883
159	0.6365336423
160	0.6356156607
161	0.6348973188
162	0.6335508639
163	0.6325968424
164	0.631375558
165	0.6306211118
166	0.6295324255
167	0.628659978
168	0.627820793
169	0.6268413887
170	0.6256866294
171	0.6248754754
172	0.6237820741
173	0.6227066282
174	0.621443039
175	0.6204139669
